zone_key;display_name
leman_grand_lac;Leman - Grand Lac (Yvoire)
leman_petit_lac;Leman - Petit Lac (Genève)
valence;Valence
st_alban_du_rhone; Saint-Alban-du-Rhône
chasse_sur_rhone; Chasse-sur-Rhône
saone;Saône - Nord de Villefranche
laffrey;Grand Lac de Laffrey
grand_large;Réservoir du Grand Large - Meyzieu
monteynard;Lac du Monteynard-Avignonet
annecy;Lac d'Annecy
bourget;Lac du Bourget
